name,status,archived,created_at,scheduled_at,updated_at,send_time
Beat the rain with Fenomilano’s waterproof shoes collection,Sent,False,2024-10-02T04:00:56.041262+00:00,2024-10-02T04:23:00.194963+00:00,2024-10-08T15:00:41.089297+00:00,2024-10-08T15:00:00+00:00
Ready for the new season? Fall shoes that stand out. (clone),Sent,False,2024-10-02T03:59:20.610041+00:00,2024-10-02T03:59:45.885290+00:00,2024-10-03T15:29:53.033664+00:00,2024-10-03T15:30:00+00:00
Ready for the new season? Fall shoes that stand out.,Sent,False,2024-10-02T03:32:43.720052+00:00,2024-10-02T03:59:07.725793+00:00,2024-10-03T15:29:48.174639+00:00,2024-10-03T15:30:00+00:00
Η νέα συλλογή παπουτσιών που ορίζει το στιλ,Sent,False,2024-09-27T15:24:20.875472+00:00,2024-09-29T03:52:46.406773+00:00,2024-09-30T15:00:31.690180+00:00,2024-09-30T15:00:00+00:00
Step up your WInter game,Sent,False,2024-09-23T10:05:54.776017+00:00,2024-09-24T04:21:00.478510+00:00,2024-09-28T16:00:03.998704+00:00,2024-09-28T16:00:00+00:00
Step up your WInter game,Sent,False,2024-09-23T05:32:11.767033+00:00,2024-09-24T04:21:10.066509+00:00,2024-09-28T15:59:57.410616+00:00,2024-09-28T16:00:00+00:00
NEW ARRIVALS ONLINE,Sent,False,2024-09-23T10:07:27.935873+00:00,2024-09-23T10:08:07.307330+00:00,2024-09-25T14:59:50.965413+00:00,2024-09-25T15:00:00+00:00
NEW ARRIVALS ONLINE,Sent,False,2024-09-23T05:19:32.123464+00:00,2024-09-23T05:30:45.206815+00:00,2024-09-25T07:00:08.858527+00:00,2024-09-25T07:00:00+00:00
Behind The Scenes,Sent,False,2024-09-23T04:55:14.792610+00:00,2024-09-23T05:15:19.381996+00:00,2024-09-23T15:00:01.142000+00:00,2024-09-23T15:00:00+00:00
If these shoes could talk,Sent,False,2024-09-09T10:05:25.243728+00:00,2024-09-09T10:18:37.032185+00:00,2024-09-16T15:44:48.108165+00:00,2024-09-16T15:45:00+00:00
Autumn Essentials: Handcrafted Loafers for the modern men,Sent,False,2024-09-09T09:27:13.925319+00:00,2024-09-09T11:03:35.995677+00:00,2024-09-11T15:29:55.834339+00:00,2024-09-11T15:30:00+00:00
Stay comfortable and stylish everyday with Fenomilano sneakers,Sent,False,2024-09-09T09:47:21.319834+00:00,2024-09-09T10:02:33.865129+00:00,2024-09-11T15:29:52.965321+00:00,2024-09-11T15:30:00+00:00
Don’t forget your socks,Sent,False,2024-09-07T06:48:03.541049+00:00,2024-09-07T07:02:16.037777+00:00,2024-09-07T16:00:12.967108+00:00,2024-09-07T16:00:00+00:00
Your FINAL chance to 50% off ⏳,Sent,False,2024-08-08T07:29:56.828670+00:00,2024-08-08T07:56:37.853913+00:00,2024-08-29T15:00:19.599412+00:00,2024-08-29T15:00:00+00:00
"Clean, Crisp White Sneakers",Sent,False,2024-08-07T13:47:37.727648+00:00,2024-08-08T07:59:38.723255+00:00,2024-08-26T15:00:37.620298+00:00,2024-08-26T15:00:00+00:00
Special occassions,Sent,False,2024-08-07T13:31:02.939332+00:00,2024-08-07T13:47:03.426275+00:00,2024-08-22T15:00:13.113481+00:00,2024-08-22T15:00:00+00:00
Your 50€ Gift Voucher. Don_t Miss Out!,Sent,False,2024-08-07T13:22:15.622725+00:00,2024-08-07T13:30:44.050512+00:00,2024-08-19T16:00:00.290754+00:00,2024-08-19T16:00:00+00:00
New Summer Styles Just Dropped!,Sent,False,2024-08-07T13:01:01.643729+00:00,2024-08-08T07:22:06.358376+00:00,2024-08-14T07:00:11.698516+00:00,2024-08-14T07:00:00+00:00
